Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Aryan Juyal,MI,https://sports.ndtv.com/cricket/players/110596-aryan-juyal-playerprofile,Wicket-Keeper ,0.20,Aryan Juyal,"November 11, 2001 Moradabad, Uttar Pradesh","20 Years, 4 Months, 4 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshad Khan,MI,https://sports.ndtv.com/cricket/players/115342-arshad-khan-playerprofile,All-Rounder ,0.20,Mohd Arshad Khan,"December 20, 1997 Gopalganj","24 Years, 2 Months, 26 Days",India,Left Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Buddhi,MI,https://sports.ndtv.com/cricket/players/115338-rahul-buddhi-playerprofile,Batsman ,0.20,Rahul Ravinder Buddhi,"September 20, 1997 Hyderabad","24 Years, 5 Months, 25 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hrithik Shokeen,MI,https://sports.ndtv.com/cricket/players/115315-hrithik-shokeen-playerprofile,All-Rounder ,0.20,Hrithik Rakesh Shokeen,"August 14, 2000 Delhi","21 Years, 7 Months, 1 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravindra Jadeja,CSK,https://sports.ndtv.com/cricket/players/855-ravindra-jadeja-playerprofile,All-Rounder ,16.00,Ravindrasinh Anirudhsinh Jadeja,"December 6, 1988 Navagam-Khed, Saurashtra","33 Years, 3 Months, 9 Days",India,Left Handed,Slow left-arm orthodox,T20 International,58,29,14,326,45* v SL,0,0,25,8,21.73,124.42,22,0,4,3,56,187.1,4,1318,48,3/15 v SCO,3,0,27.45,7.04,23.39,56
Deepak Chahar,CSK,https://sports.ndtv.com/cricket/players/60022-deepak-lokandersingh-chahar-playerprofile,Bowler ,14.00,Deepak Lokandersingh Chahar,"August 7, 1992 Agra, Uttar Pradesh","29 Years, 7 Months, 8 Days",India,Right Handed,Right-arm medium,T20 International,20,5,5,22,21* v NZ,0,0,2,1,,244.44,2,0,3,0,20,70,1,579,26,6/7 v BAN,1,1,22.26,8.27,16.15,20
MS Dhoni,CSK,https://sports.ndtv.com/cricket/players/700-ms-dhoni-playerprofile,Wicket-Keeper ,12.00,Mahendra Singh Dhoni,"July 7, 1981 Ranchi, Bihar (now Jharkhand)","40 Years, 8 Months, 8 Days",India,Right Handed,Right-arm medium,,98,85,42,1617,56 v ENG,0,2,116,52,37.60,126.13,57,34,3,6,,,,,,,,,,,,
Moeen Ali,CSK,https://sports.ndtv.com/cricket/players/42413-moeen-munir-ali-playerprofile,All-Rounder ,8.00,Moeen Munir Ali,"June 18, 1987 Birmingham, Warwickshire","34 Years, 8 Months, 28 Days",England,Left Handed,Off break,T20 International,49,44,10,637,72* v AUS,0,4,50,32,18.73,136.98,13,0,9,3,42,108.1,1,854,33,3/24 v WI,1,0,25.87,7.89,19.66,42
Ambati Rayudu,CSK,https://sports.ndtv.com/cricket/players/1003-ambati-rayudu-playerprofile,Wicket-Keeper ,6.75,Ambati Thirupathi Rayudu,"September 23, 1985 Guntur,Andhra Pradesh","36 Years, 5 Months, 22 Days",India,Right Handed,Off break,,6,5,1,42,20 v ZIM,0,0,5,0,10.50,84.00,4,0,2,1,,,,,,,,,,,,
Ruturaj Gaikwad,CSK,https://sports.ndtv.com/cricket/players/108591-ruturaj-gaikwad-playerprofile,Batsman ,6.00,Ruturaj Dashrat Gaikwad,"January 31, 1997 Pune, Maharashtra","25 Years, 1 Months, 12 Days",India,Right Handed,Off break,,3,3,0,39,21 v SL,0,0,4,0,13.00,108.33,1,0,0,0,,,,,,,,,,,,
